ime,gorovje,višina (m),število ogledov,priljubljenost (mesto),število planinskih točk v okolici,število poti

Okroglež,Julijske Alpe,1965,358486,758,8,2

Vrh Ovčje planje,Julijske Alpe,1965,256982,1153,5,1

Debeli vrh nad Lipanco,Julijske Alpe,1962,451931,412,10,5

Lopič / Monte Plauris,Julijske Alpe,1958,280300,1064,0,2

Velika Montura,Julijske Alpe,1958,2410,2073,4,2

Vrh Leh,Julijske Alpe,1958,205007,1358,4,1

Veliki Selišnik,Julijske Alpe,1952,357243,764,10,1

Bivak Gorizia,Julijske Alpe,1950,292027,1019,5,1

Mali Raskovec,Julijske Alpe,1946,208045,1346,10,4

Suha Rodica (Novi vrh),Julijske Alpe,1944,243390,1206,9,4

Veliki Šmohor,Julijske Alpe,1944,390949,641,9,2

Prednje Robičje,Julijske Alpe,1941,333741,859,14,2

Mali Šmohor,Julijske Alpe,1939,326359,886,7,2

Matajurski vrh,Julijske Alpe,1936,348253,803,8,4

Bela glava,Julijske Alpe,1926,306406,961,17,1

Macesnovec,Julijske Alpe,1926,464687,363,1,1

Vrh Škrli,Julijske Alpe,1926,241980,1212,7,2

Mala Ponca,Julijske Alpe,1925,471907,343,6,3

Vogel,Julijske Alpe,1922,583334,77,10,19

Rušnati vrh,Julijske Alpe,1915,236198,1238,8,1

Rdeči rob,Julijske Alpe,1913,376217,694,7,1

Kraljevska špica/Monte Re,Julijske Alpe,1912,360665,752,0,1

Slemenova špica,Julijske Alpe,1911,636404,35,10,6

Speleološki bivak Modonutti - Savoia,Julijske Alpe,1908,218936,1301,3,3

Bivak Bernardinis,Julijske Alpe,1907,223753,1283,1,1

Mangartska koča na Mangartskem sedlu,Julijske Alpe,1906,482643,309,2,3

Mala Rodica,Julijske Alpe,1901,247210,1194,7,1

Kser,Julijske Alpe,1900,285370,1046,8,2

Rušnata glava,Julijske Alpe,1899,339967,831,13,2

Vrtaški vrh,Julijske Alpe,1898,444966,437,6,4

Poljanski vrh,Julijske Alpe,1897,248471,1186,8,4

Vrh Krnic,Julijske Alpe,1896,267687,1114,8,7

Vrh Razora,Julijske Alpe,1893,391704,636,9,3

Studorski preval,Julijske Alpe,1892,437984,462,12,1

Srednji Selišnik,Julijske Alpe,1890,322538,897,11,1

Klečica,Julijske Alpe,1889,197599,1387,6,0

Spodnje Kriško jezero,Julijske Alpe,1880,434895,472,14,1

Šija,Julijske Alpe,1880,494000,273,9,4

Konjski vrh,Julijske Alpe,1879,296896,1003,7,4

Krsteniški Stog,Julijske Alpe,1879,313665,933,12,2

Čisti vrh,Julijske Alpe,1875,378798,686,3,1

Rifugio Corsi,Julijske Alpe,1874,380691,679,7,4

Požgana Mlinarica,Julijske Alpe,1868,351689,789,5,3

Tolminski Migovec,Julijske Alpe,1868,414854,548,8,1

Vrh Planje (nad Globokim),Julijske Alpe,1863,259739,1142,6,4

Skutnik/Torre Guarda,Julijske Alpe,1860,317423,917,2,1

Vrh Dlani,Julijske Alpe,1852,220477,1296,8,1

Bivak Nogara,Julijske Alpe,1850,315307,927,2,1

Rifugio Gilberti,Julijske Alpe,1850,348785,802,4,2

Šober / Monte Sciober Grande,Julijske Alpe,1845,316537,922,2,4

Črna prst,Julijske Alpe,1844,635339,37,6,18

Žabiški Kuk,Julijske Alpe,1844,351830,788,5,6

Četrt,Julijske Alpe,1832,242609,1209,8,4

Jezero v Ledvicah,Julijske Alpe,1831,454136,397,14,2

Kovačičeva glava,Julijske Alpe,1827,223807,1282,17,1

Visoka glava,Julijske Alpe,1822,199789,1379,17,1

Vodnikov dom na Velem polju,Julijske Alpe,1817,558473,115,10,8

Stara koča na Kaninu,Julijske Alpe,1814,300,2470,4,1

Pri treh macesnih,Julijske Alpe,1810,334209,857,15,1

Vrtec,Julijske Alpe,1809,271243,1097,14,1

Jezero v Lužnici,Julijske Alpe,1801,424430,514,6,3

Visoki Orlov rob,Julijske Alpe,1800,276523,1081,8,1

Škraplja,Julijske Alpe,1794,274200,1086,3,1

Plesišče,Julijske Alpe,1790,296510,1005,8,1

Kumlehova glava,Julijske Alpe,1788,373724,704,7,2

Rušni vrh,Julijske Alpe,1786,208040,1347,7,9

Stadorski Orliči,Julijske Alpe,1782,210605,1336,13,1

Rušnata Mlinarica,Julijske Alpe,1777,276988,1079,5,2

Krasji vrh,Julijske Alpe,1773,507250,230,1,3

Rigeljc,Julijske Alpe,1768,210949,1332,12,1

Veliki vrh (Polovnik),Julijske Alpe,1768,363134,743,3,1

Čukla,Julijske Alpe,1767,462445,372,2,1

Svete Višarje / Monte Lussari,Julijske Alpe,1766,601945,56,3,4

Kurji vrh,Julijske Alpe,1762,432291,485,4,2

Pršivec,Julijske Alpe,1761,545485,134,10,7

Glave,Julijske Alpe,1760,241176,1216,6,2

Luknja,Julijske Alpe,1758,461063,378,9,2

Sovna glava,Julijske Alpe,1750,388422,648,11,5

Zavitar,Julijske Alpe,1750,334936,854,8,2

Visoka peč,Julijske Alpe,1749,6130,1999,1,4

Ciprnik,Julijske Alpe,1745,552122,123,2,4

Vršič vrh,Julijske Alpe,1737,549386,129,13,4

Skutnik /Monte Guarda,Julijske Alpe,1721,381952,677,1,1

Planina Jezerce,Julijske Alpe,1720,415801,547,11,2

Planina Zgornja Krma,Julijske Alpe,1720,453150,406,13,1

Veliki Karman / Monte Chiampon,Julijske Alpe,1713,256630,1154,2,3

Rutarski Vršič,Julijske Alpe,1699,334891,856,4,2

Gradovec,Julijske Alpe,1692,1220,2209,7,4

Poštarski dom na Vršiču,Julijske Alpe,1688,452048,410,14,6

Koča pri Triglavskih jezerih,Julijske Alpe,1685,697719,11,10,8

Orlove glave,Julijske Alpe,1682,417985,534,7,1

Velo polje,Julijske Alpe,1680,453282,404,10,6

Stol (Julijske Alpe),Julijske Alpe,1673,542807,137,1,4

Planina Krstenica,Julijske Alpe,1670,508545,226,11,3

Jehlc (Špičasta kupa),Julijske Alpe,1662,243581,1205,4,2

Planina Ovčarija,Julijske Alpe,1660,436698,467,15,3

Rifugio di Brazza,Julijske Alpe,1660,374542,700,2,1

Zavetišče pod Ponco,Julijske Alpe,1657,316795,920,9,1

Florjanka / Monte Florianca,Julijske Alpe,1653,1470,2160,2,2

Svinjak,Julijske Alpe,1653,530049,169,0,1

Planina pod Mišelj vrhom,Julijske Alpe,1645,384541,665,12,6

Matajur,Julijske Alpe,1642,581994,81,3,13

Blejska koča na Lipanci,Julijske Alpe,1630,595095,62,7,5

Gabrovec,Julijske Alpe,1630,300382,983,4,1

Planina Viševnik,Julijske Alpe,1625,501762,247,10,4

Vošni vrh,Julijske Alpe,1621,178988,1460,2,1

Tičarjev dom na Vršiču,Julijske Alpe,1618,465171,361,13,3

Breški Jalovec / Punta di Montemaggiore,Julijske Alpe,1613,364993,737,3,2

