ime planinske točke,ime bližnje točke,višina bližnje točke (m) 
Planina Spodnja Grintovica,Jezerski Stog,2040
Planina Spodnja Grintovica,Krsteniški Stog,1879
Planina Spodnja Grintovica,Planina Krstenica,1670
Planina Spodnja Grintovica,Planina Zgornja Grintovica,1250
Planina Spodnja Grintovica,Slap Mostnice,773
Planina Spodnja Grintovica,Okrepčevalnica Slap Voje,745
Planina Spodnja Konjščica,Bela peč,1583
Planina Spodnja Konjščica,Planina Zgornja Konjščica,1578
Planina Spodnja Konjščica,Spominska plošča Jožeta Rozmana,1450
Planina Spodnja Konjščica,Koča Pr Zdravc,1448
Planina Stamare,Mali vrh,2017
Planina Stamare,Kamnitnik,1858
Planina Stamare,Bivak na Belščici,1750
Planina Stamare,Planina Seča,1698
Planina Stamare,Hrašenska planina,1670
Planina Stamare,Velika Boncla,1241
Planina Stamare,Alničje,1145
Planina Stamare,Mala Boncla (Bavha),1131
Planina Stamare,Izvir Javornika,1000
Planina Stamare,Gank,850
Planina Stamare,Javorniški slapovi,690
Planina Strehica,Poldašnja špica/Jof di Miezegnot,2087
Planina Strehica,Planina Ravna,1515
Planina Suha,Rodica,1966
Planina Suha,Mala Rodica,1901
Planina Suha,Šija,1880
Planina Suha,Visoki Orlov rob,1800
Planina Suha,Zavitar,1750
Planina Suha,Orlove glave,1682
Planina Suha,Lovska koča na Glinu,1527
Planina Travnik,Prevala,1163
Planina Travnik,Planina Ravni,1075
Planina Viševnik,Kovačičeva glava,1827
Planina Viševnik,Visoka glava,1822
Planina Viševnik,Vrtec,1809
Planina Viševnik,Stadorski Orliči,1782
Planina Viševnik,Rigeljc,1768
Planina Viševnik,Pršivec,1761
Planina Viševnik,Planina Ovčarija,1660
Planina Viševnik,Planina Dedno Polje,1560
Planina Viševnik,Koča na Planini pri Jezeru,1453
Planina Viševnik,Črno jezero,1294
Planina Vodični vrh,Pršivec,1761
Planina Vodični vrh,Koča na Planini pri Jezeru,1453
Planina Vodični vrh,Planina Blato,1147
Planina Vodični vrh,Kosijev dom na Vogarju,1054
Planina Vodični vrh,Ožarjeni kamen,960
Planina Vodični vrh,Slap Suha,950
Planina Vodol,Lanež,1925
Planina Vodol,Jelovec,1808
Planina Vodol,Planina Javorje,1594
Planina Vodol,Knezova planina (Planina Bela peč),1350
Planina Vodole,Veliki vrh (Veža),2110
Planina Vodole,Tolsti vrh (Veža),1985
Planina Vodole,Deska (Veža),1970
Planina Vodole,Dleskovec,1965
Planina Vodole,Jamarski bivak na Dleskovški planoti,1910
Planina Vodole,Vodotočno jezero (Veža),1850
Planina Vodole,Lastovec,1841
Planina Vodole,Planina Dolga trata,1835
Planina Vodole,Planina Podvežak,1564
Planina Vodole,Planina Ravne,1500
Planina Za Črno goro,Črna prst,1844
Planina Za Črno goro,Rušni vrh,1786
Planina Za Črno goro,Kravja Črna gora,1541
Planina Za Črno goro,Krevl,1515
Planina Za Črno goro,Kobla,1498
Planina Za Črno goro,Orožnova koča na planini za Liscem,1338
Planina Zadnji Vogel,Vogel,1922
Planina Zadnji Vogel,Vrh Krnic,1896
Planina Zadnji Vogel,Šija,1880
Planina Zadnji Vogel,Vrh Dlani,1852
Planina Zadnji Vogel,Visoki Orlov rob,1800
Planina Zadnji Vogel,Zavitar,1750
Planina Zadnji Vogel,Orlove glave,1682
Planina Zadnji Vogel,Planinska koča Merjasec,1535
Planina Zagreben,Lopatnik,2012
Planina Zagreben,Vogel (nad Lepeno),1980
Planina Zajamniki,Javorov vrh (Pokljuka),1482
Planina Zajavornik,Lipenšči hrib,1375
Planina Zali potok,Planina Pungrat,1447
Planina Zali potok,Tegoška planina,1430
Planina Zgornja Dolga njiva,Košutnikov turn,2133
Planina Zgornja Dolga njiva,Tolsta Košuta - Vzhodni vrh,2057
Planina Zgornja Dolga njiva,Tolsta Košuta - Zahodni vrh,2026
Planina Zgornja Dolga njiva,Plešivec,1801
Planina Zgornja Dolga njiva,Mala Košuta,1740
Planina Zgornja Dolga njiva,Pečovnik (kota 1668),1668
Planina Zgornja Dolga njiva,Pečovnik,1640
Planina Zgornja Dolga njiva,Planina Spodnja Dolga njiva,1400
Planina Zgornja Grintovica,Jezerski Stog,2040
Planina Zgornja Grintovica,Krsteniški Stog,1879
Planina Zgornja Grintovica,Planina Krstenica,1670
Planina Zgornja Grintovica,Planina Spodnja Grintovica,1175
Planina Zgornja Grintovica,Slap Mostnice,773
Planina Zgornja Grintovica,Okrepčevalnica Slap Voje,745
Planina Zgornja Konjščica,Bela peč,1583
Planina Zgornja Konjščica,Planina Javornik,1550
Planina Zgornja Konjščica,Planina Spodnja Konjščica,1451
Planina Zgornja Konjščica,Spominska plošča Jožeta Rozmana,1450
Planina Zgornja Konjščica,Koča Pr Zdravc,1448
Planina Zgornja Krma,Kredarica,2541
Planina Zgornja Krma,Rž,2538
Planina Zgornja Krma,Triglavski dom na Kredarici,2515
Planina Zgornja Krma,Dom Planika pod Triglavom,2401
Planina Zgornja Krma,Vrh Snežne konte,2342
Planina Zgornja Krma,Tosc,2275
Planina Zgornja Krma,Veliki Draški vrh,2243
Planina Zgornja Krma,Vernar,2225
Planina Zgornja Krma,Mali Draški vrh,2132
Planina Zgornja Krma,Cesar,2098
Planina Zgornja Krma,Studorski preval,1892
Planina Zgornja Krma,Vodnikov dom na Velem polju,1817
Planina Zgornja Krma,Velo polje,1680
Planina Zgornja Luža,Bistriška špica/Feistritzer Spitze,2113
Planina Zgornja Luža,Veška kopa/Wackendorfer Spitze,2074
Planina Zgornja Luža,Planina Luža,1250
Planina Zgornja Luža,Planinski dom na kmetiji Kumer,1220
Planina na Kalu,Tolminski Migovec,1868
Planina na Kalu,Grušnica,1570
Planina na Kalu,Javor (nad Tolminskimi Ravnami),1363
Planina na Polju,Krn,2244
Planina na Polju,Vrh nad Peski,2176
Planina na Polju,Batognica,2164
Planina na Polju,Krnčica,2142
Planina na Polju,Veliki Lemež,2042
Planina na Polju,Srednji vrh,2032
Planina na Polju,Vogel (nad Lepeno),1980
Planina na Polju,Veliki Šmohor,1944
Planina na Polju,Mali Šmohor,1939
Planina na Polju,Krnsko jezero,1391
Planina na Polju,Dom pri Krnskih jezerih,1385
Planina nad Sočo,Pri Banderi,1974
Planina nad Sočo,Vrh Ovčje planje,1965
Planina nad Sočo,Vrh Leh,1958
Planina nad Sočo,Velika korita Soče,480
Planina pod Mišelj vrhom,Mišelj vrh,2350
Planina pod Mišelj vrhom,Škednjovec,2309
Planina pod Mišelj vrhom,Tosc,2275
Planina pod Mišelj vrhom,Vernar,2225
Planina pod Mišelj vrhom,Ogradi,2087
Planina pod Mišelj vrhom,Prevalski Stog,2075
Planina pod Mišelj vrhom,Jezerski Stog,2040
Planina pod Mišelj vrhom,Eva,2019
Planina pod Mišelj vrhom,Adam,2012
Planina pod Mišelj vrhom,Vodnikov dom na Velem polju,1817
Planina pod Mišelj vrhom,Planina Jezerce,1720
Planina pod Mišelj vrhom,Velo polje,1680
Planina v Lazu,Debeli vrh,2390
Planina v Lazu,Prvi Vogel,2181
Planina v Lazu,Ogradi,2087
Planina v Lazu,Slatna,2077
Planina v Lazu,Prevalski Stog,2075
Planina v Lazu,Jezerski Stog,2040
Planina v Lazu,Kreda,2025
Planina v Lazu,Eva,2019
Planina v Lazu,Adam,2012
Planina v Lazu,Krsteniški Stog,1879
Planina v Lazu,Planina Jezerce,1720
Planina v Lazu,Planina Krstenica,1670
Planina v Lazu,Planina Dedno Polje,1560
Planina v Plazeh,Travnik,2252
Planina v Plazeh,Čisti vrh,1875
Planina v Prodih,Vogel,1922
Planina v Prodih,Šija,1880
Planina v Prodih,Vrh Dlani,1852
Planina v Prodih,Visoki Orlov rob,1800
Planina za Jamo,Galetovec,1265
Planina za Jamo,Turn (nad Bohinjsko Belo),1249
Planina za Jamo,Planina Ilovec,1170
Planina za Migovcem,Podrta gora,2061
Planina za Migovcem,Vrh nad Škrbino,2054
Planina za Migovcem,Zeleni vrh,2052
Planina za Migovcem,Meja,1996
Planina za Migovcem,Rušnati vrh,1915
Planina za Šavnikom,Slatnik (severozahodni vrh),1609
Planina za Šavnikom,Možic,1602
Planina za Šavnikom,Slatnik (jugovzhodni vrh),1597
Planina za Šavnikom,Šavnik,1574
Planina za Šavnikom,Črni vrh (nad Soriško planino),1486
Planina za Šavnikom,Koča na Soriški planini,1306
Planina za Šavnikom,Vrh Bače,1273
Planina za Šavnikom,Lovčev bivak Pri Koucah,1192
Planina Črča,Rdeči rob,1913
Planina Črča,Planina Sleme,1448
Planina Črča,Planina Pretovč,1160
Planina Črča,Planina Medrja,1133
Planina Črča,Planina Laška seč,1000
Planina Črča,Javorca,571
Planina Črča,Žičnica čez Tolminko,500
Planinska koča Iskra na Jakobu,Zavetišče v Hudičevem borštu,1328
Planinska koča Iskra na Jakobu,Potoška gora,1283
Planinska koča Iskra na Jakobu,Baba,1119
Planinska koča Iskra na Jakobu,Mihčeva kopišča,1100
Planinska koča Iskra na Jakobu,Planinska koča pri Franciju,930
Planinska koča Iskra na Jakobu,Novi grad (Pusti grad),630
Planinska koča Iskra na Jakobu,Senčnica Josipine Turnograjske,570
Planinska koča Merjasec,Zavitar,1750
Planinska koča Merjasec,Orlove glave,1682
Planinska koča Merjasec,Planina Zadnji Vogel,1413
Planinska koča Velikonočnica,Boč,978
Planinska koča Velikonočnica,Dom na Boču,698
Planinska koča pri Franciju,Zavetišče v Hudičevem borštu,1328
Planinska koča pri Franciju,Potoška gora,1283
Planinska koča pri Franciju,Baba,1119
Planinska koča pri Franciju,Mihčeva kopišča,1100
Planinska koča pri Franciju,Planinska koča Iskra na Jakobu,961
Planinska koča pri Franciju,Sv. Miklavž nad Mačami,651
Planinska koča pri Franciju,Novi grad (Pusti grad),630
Planinska koča pri Franciju,Senčnica Josipine Turnograjske,570
Planinski dom na kmetiji Kumer,Planina Zgornja Luža,1573
Planinski dom na kmetiji Kumer,Šoparjev vrh,1524
Planinski dom na kmetiji Kumer,Planina Luža,1250
Planinski dom na kmetiji Kumer,Sveta Ana v Koprivni,1218
Planinsko zavetišče Slatna,Zelenci,845
Planja,Razor,2601
Planja,Križ,2410
Planja,Gubno,2403
Planja,Šplevta (Indijanec),2382
Planja,Kriški rob,2366
Planja,Zgornje Kriško jezero,2158
Planja,Goličica,2101
Planja,Pogačnikov dom na Kriških podih,2050
Planja,Spodnje Kriško jezero,1880
Planja,Lovska koča Na Utrci,1500
Planja (nad Mangartsko planino),Mangartska planina,1295
Planjava,Ojstrica,2350
Planjava,Lučka Brana (Baba),2244
Planjava,Najvišji rob (Zeleniške špice),2127
Planjava,Lučki Dedec,2023
Planjava,Rjavčki vrh (Planinšca),1898
Planjava,Kamniška koča na Kamniškem sedlu,1864
Planjava,Pri Pastirjih,1430
Planjava pri Kamniškem vrhu,Kamniški vrh,1259
Planjava pri Kamniškem vrhu,Planina Osredek,1100
Planjava pri Kamniškem vrhu,Korošaški slapovi,800
Plaski Vogel,Veliko Špičje,2398
Plaski Vogel,Travnik,2252
Plaski Vogel,Čelo,2228
Plaski Vogel,Čisti vrh,1875
Plesišče,Mali Draški vrh,2132
Plesišče,Viševnik,2050
Plesišče,Ablanca,2004
Plesišče,Draški rob,1979
Plesišče,Veliki Selišnik,1952
Plesišče,Studorski preval,1892
Plesišče,Srednji Selišnik,1890
Plesišče,Planina Konjščica,1438
Plesnikova planina,Krofička,2083
Plesnikova planina,Strelovec,1763
Plesnikova planina,Logarska peč,1536
Plesnikova planina,Icmanikova planina,1520
Plesnikova planina,Knezova planina,1520
Plesnikova planina,Koča na Klemenči jami,1208
Plesnikova planina,Slap Palenk,730
Pleče,Tolsti vrh (pri Poljški planini),1225
Pleče,Smokuški vrh,1122
Pleče,Sankaška koča,867
Pleče,Sveti Peter nad Begunjami,839
Pleče,Dom v Dragi,689
Plešivec,Tolsta Košuta - Vzhodni vrh,2057
Plešivec,Tolsta Košuta - Zahodni vrh,2026
Plešivec,Mala Košuta,1740
Plešivec,Pečovnik (kota 1668),1668
Plešivec,Pečovnik,1640
Plešivec,Planina Zgornja Dolga njiva,1580
Plešivec,Planina Spodnja Dolga njiva,1400
Plešivec,Partizanska bolnica na Formili/Boču,630
Plešivec,Grilova kapela na Boču,534
Plešivec (Loška stena),Jalovec,2645
Plešivec (Loška stena),Veliki Ozebnik,2480
Plešivec (Loška stena),Mali Ozebnik,2324
Plešivec (Loška stena),Zavetišče pod Špičkom,2064
Podgorska planina / Maria Elender Alm,Veliki Mošenik / Große Muschenig,1021
Podkanjski slap / Wildensteiner Wasserfall,Stara gora / Altberg,1552
Podrta gora,Tolminski Kuk,2085
Podrta gora,Vrh nad Škrbino,2054
Podrta gora,Zeleni vrh,2052
Podrta gora,Meja,1996
Podrta gora,Vrh Planje,1971
Podrta gora,Tolminski Migovec,1868
Podrta gora,Planina za Migovcem,1600
Podrta gora,Planina Govnjač,1480
Pogačnikov dom na Kriških podih,Razor,2601
Pogačnikov dom na Kriških podih,Stenar,2501
Pogačnikov dom na Kriških podih,Planja,2453
Pogačnikov dom na Kriških podih,Pihavec,2419
Pogačnikov dom na Kriških podih,Križ,2410
Pogačnikov dom na Kriških podih,Gubno,2403
Pogačnikov dom na Kriških podih,Bovški Gamsovec,2392
Pogačnikov dom na Kriških podih,Šplevta (Indijanec),2382
Pogačnikov dom na Kriških podih,Kriški rob,2366
Pogačnikov dom na Kriških podih,Spodnji Stenar,2356
Pogačnikov dom na Kriških podih,Zgornje Kriško jezero,2158
Pogačnikov dom na Kriških podih,Spodnje Kriško jezero,1880
Pogačnikov dom na Kriških podih,Luknja,1758
Pogačnikov dom na Kriških podih,Lovska koča Na Utrci,1500
Pogorevc,Bivak Suška bajta,1034
Pokljuška soteska (luknja),Hotunjski vrh,1107
Pokljuška soteska (luknja),Izvir Lipnika,660
Pokljuška soteska (luknja),Jezerce v dolini Radovne,657
Poldašnja špica/Jof di Miezegnot,Planina Ravna,1515
Poldašnja špica/Jof di Miezegnot,Planina Strehica,1359
Police,Planina Ravne,956
Police,Jezerce v dolini Radovne,657
Poljanska baba,Snežna jama na Mežakli,1130
Poljanska baba,Planina Obranica,1035
Poljanska baba,Boršt,931
Poljanska baba,Kres nad Kočno,890
Poljanska baba,Vrše,850
Poljanska baba,Žerjavec (Kavče),805
Poljanska baba,Jamnikov spodmol,720
Poljanska baba,Strana,711
Poljanska baba,Spominsko obeležje Aleš Kunaver,660
Poljanski rob,Gradišče (Velika planina),1666
Poljanski rob,Gostišče Zeleni Rob,1612
Poljanski rob,Kapela Marije Snežne (Velika planina),1560
Poljanski rob,Domžalski dom na Mali planini,1534
Poljanski rob,Črnuški dom na Mali planini,1526
Poljanski rob,Jarški dom na Mali planini,1520
Poljanski rob,Dom na Kisovcu,1275
Poljanski rob,Planina Marjanine njive,1220
Poljanski vrh,Raskovec,1967
Poljanski vrh,Mali Raskovec,1946
Poljanski vrh,Matajurski vrh,1936
Poljanski vrh,Konjski vrh,1879
Poljanski vrh,Četrt,1832
Poljanski vrh,Gradovec,1692
Poljanski vrh,Planina Poljana,1466
Poljanski vrh,Planina Osredki,1400
Polna peč,Na Možeh,1784
Polna peč,Vrh Ljubeljščice (Triangel),1704
Polna peč,Spodnji Plot,1682
Polna peč,Koča na Ljubelju,1370
Polna peč,Koča Vrtača,1288
Polna peč,Sveta Ana (Ljubelj),1032
Poprovec,Kanjavec,2569
Poprovec,Kanjavec (Zahodni vrh),2569
Poprovec,Teme (Hribarice),2495
Poprovec,Mišeljski Konec,2464
Poprovec,Vršaki (Vzhodni vrh),2448
Poprovec,Vršaki (Južni vrh),2431
Poprovec,Vršaki (Srednji vrh),2424
Poprovec,Vršaki (Vrh za Koritami),2422
Poprovec,Debeli vrh,2390
Poprovec,Vrh Hribaric,2388
Poprovec,Zadnji Vogel,2327
Poprovec,Velika Zelnarica,2320
Poprovec,Malo Špičje,2312
Poprovec,Škednjovec,2309
Poprovec,Vodnikov Vršac (Vršac nad Zadnjico),2194
Poprovec,Koča na Doliču,2151
Poprovec,Zasavska koča na Prehodavcih,2071
Poprovec,Rjavo jezero,2006
Poprovec,Zeleno jezero,1988
Potočka zijalka,Govca (Olševa),1929
Potočka zijalka,Obel kamen (Olševa),1911
Potočka zijalka,Sveti Duh pod Olševo,1232
Potočnikova planina,Begunjščica,2060
Potočnikova planina,Begunjska Vrtača,1991
Potočnikova planina,Spodnji Plot,1682
Potočnikova planina,Čisovec,1419
Potočnikova planina,Koča na planini Preval-a,1311
Potočnikova planina,Koča Vrtača,1288
Potoška gora,Javorov vrh,1434
Potoška gora,Zavetišče v Hudičevem borštu,1328
Potoška gora,Baba,1119
Potoška gora,Mihčeva kopišča,1100
Potoška gora,Planinska koča Iskra na Jakobu,961
Potoška gora,Planinska koča pri Franciju,930
Potoška gora,Dom Čemšenik,835
Potoška gora,Novi grad (Pusti grad),630
Potoška gora,Senčnica Josipine Turnograjske,570
Potoška planina,Vajnež,2104
Potoška planina,Mali vrh,2017
Potoška planina,Potoški Stol,2014
Potoška planina,Bivak na Belščici,1750
Potoška planina,Žirovniška planina,1200
Potoška planina,Valvasorjev dom pod Stolom,1181
Potoška planina,Alničje,1145
Potoška planina,Smolnik,1075
Potoška planina,Ajdna,1046
Potoška planina,Malnež,846
Potoški Stol,Stol,2236
Potoški Stol,Prešernova koča na Stolu,2174
Potoški Stol,Vajnež,2104
Potoški Stol,Mali vrh,2017
Potoški Stol,Bivak na Belščici,1750
Potoški Stol,Potoška planina,1270
Potoški Stol,Žirovniška planina,1200
Potoški Stol,Valvasorjev dom pod Stolom,1181
Povšnarjeva planina,Na Križu (Kokrska Kočna),2484
Povšnarjeva planina,Veliki vrh,1742
Povšnarjeva planina,Ovča koča,1323
Počitniški dom v Možnici,Jerebica,2126
Počitniški dom v Možnici,Korita Možnice (Nemčlje),580
Počka (Robnikova) planina,Koča na Travniku,1548
Počka (Robnikova) planina,Mali Travnik,1532
Počka (Robnikova) planina,Planina Mali Travnik,1500
Počka (Robnikova) planina,Bezovec,1326
Počka (Robnikova) planina,Partizanska bolnica Mrzle vode,1226
Poštarski dom na Vršiču,Prisank / Prisojnik,2547
Poštarski dom na Vršiču,Velika Mojstrovka,2366
Poštarski dom na Vršiču,Zadnja Mojstrovka,2354
Poštarski dom na Vršiču,Mala Mojstrovka,2332
Poštarski dom na Vršiču,Suhi vrh,2109
Poštarski dom na Vršiču,Šitna glava,2087
Poštarski dom na Vršiču,Prednje Robičje,1941
Poštarski dom na Vršiču,Sovna glava,1750
Poštarski dom na Vršiču,Vršič vrh,1737
Poštarski dom na Vršiču,Tičarjev dom na Vršiču,1618
Poštarski dom na Vršiču,Erjavčeva koča na Vršiču,1525
Poštarski dom na Vršiču,Tonkina koča na Vršiču,1380
Poštarski dom na Vršiču,Koča na Gozdu,1226
Poštarski dom na Vršiču,Ruska kapelica,1130
Poštarski dom pod Plešivcem,Sveti Rok (Sele),582
Požar,Požgana Mlinarica,1868
Požar,Rušnata Mlinarica,1777
Požar,Lengarjeva glava,1498
Požgana Mlinarica,Rjavina,2532
Požgana Mlinarica,Cmir,2393
Požgana Mlinarica,Spodnja Vrbanova špica,2299
Požgana Mlinarica,Rušnata Mlinarica,1777
Požgana Mlinarica,Požar,1543
Požgani rob,Palec,2026
Požgani rob,Zelenjak,2024
Požgani rob,Žleb (Suho ruševje),1916
Požgani rob,Rjavca / Rjautza,1789
Požgani rob,Bela peč / Weiße Wand,1665
Požgani rob,Kosmatica / Kosmatitza,1659
Požgani rob,Sveta peč / Helige Wand,1613
Požgani rob,Vgrizeva planina / Ogrisalm,1569
Praprotnikova koča,Storžič,2132
Praprotnikova koča,Srednji vrh,1853
Praprotnikova koča,Mali Grintovec,1813
Praprotnikova koča,Bašeljski vrh,1744
Praprotnikova koča,Licjanovec,1733
Praprotnikova koča,Planina Dolga njiva,1600
Praprotnikova koča,Dom na Kališču,1534
Praprotnikova koča,Planina Kališče,1450
Prednje Robičje,Velika Mojstrovka,2366
Prednje Robičje,Mala Mojstrovka,2332
Prednje Robičje,Šitna glava,2087
Prednje Robičje,Slemenova špica,1911
Prednje Robičje,Kumlehova glava,1788
Prednje Robičje,Sovna glava,1750
Prednje Robičje,Vršič vrh,1737
Prednje Robičje,Poštarski dom na Vršiču,1688
Prednje Robičje,Tičarjev dom na Vršiču,1618
Prednje Robičje,Visoki Mavrinc,1562
Prednje Robičje,Erjavčeva koča na Vršiču,1525
Prednje Robičje,Tonkina koča na Vršiču,1380
Prednje Robičje,Koča na Gozdu,1226
Prednje Robičje,Ruska kapelica,1130
Prestreljenik,Lopa,2406
Prestreljenik,Prestreljeniško okno,2391
Prestreljenik,Vrh Osojnic,2371
Prestreljenik,Konjc,2289
Prestreljenik,Dom Petra Skalarja na Kaninu,2260
Prestreljenik,Bela peč/Monte Bila pec,2146
Prestreljenik,Rifugio Gilberti,1850
Prestreljeniško okno,Prestreljenik,2499
Prestreljeniško okno,Vrh Osojnic,2371
Prestreljeniško okno,Konjc,2289
Prestreljeniško okno,Dom Petra Skalarja na Kaninu,2260
Prestreljeniško okno,Bela peč/Monte Bila pec,2146
Prestreljeniško okno,Rifugio Gilberti,1850
Prevala,Ojstri vrh (nad Prevalo),1197
Prevala,Planina Travnik,1180
Prevala,Planina Ravni,1075
Prevalski Stog,Mišeljski Konec,2464
Prevalski Stog,Debeli vrh,2390
Prevalski Stog,Vrh Hribaric,2388
Prevalski Stog,Mišelj vrh,2350
Prevalski Stog,Škednjovec,2309
Prevalski Stog,Ogradi,2087
Prevalski Stog,Jezerski Stog,2040
Prevalski Stog,Eva,2019
Prevalski Stog,Adam,2012
Prevalski Stog,Krsteniški Stog,1879
Prevalski Stog,Planina Jezerce,1720
Prevalski Stog,Velo polje,1680
Prevalski Stog,Planina pod Mišelj vrhom,1645
Prevalski Stog,Planina v Lazu,1560
Prešernova koča na Stolu,Stol,2236
Prešernova koča na Stolu,Potoški Stol,2014
Prešernova koča na Stolu,Svačica,1953
Prešernova koča na Stolu,Srednja peč,1920
Prešernova koča na Stolu,Celovška koča / Klagenfurter Hutte,1664
Prešernova koča na Stolu,Lovska koča nad Doslovško planino,1325
Prešernova koča na Stolu,Zabreška planina,1225
Prešernova koča na Stolu,Doslovška planina,1210
Prešernova koča na Stolu,Žirovniška planina,1200
Prgozdnik,Planina Jezerca,1410
Prgozdnik,Ambrož pod Krvavcem,1085
Prgozdnik,Šenturška Gora,671
Pri Banderi,Vrh Ovčje planje,1965
Pri Banderi,Vrh Leh,1958
Pri Banderi,Planina nad Sočo,1400
Pri Banderi,Mladinski izobraževalni center v Bavšici,725
Pri Pastirjih,Planjava,2392
Pri Pastirjih,Brana,2253
Pri Pastirjih,Turska gora,2251
Pri Pastirjih,Kamniška koča na Kamniškem sedlu,1864
Pri Pastirjih,Kamniški Dedec,1583
Pri treh macesnih,Visoki Rokav,2646
Pri treh macesnih,Veliki Oltar,2621
Pri treh macesnih,Velika Martuljška Ponca,2602
Pri treh macesnih,Dovški križ,2542
Pri treh macesnih,Mala Martuljška Ponca,2501
Pri treh macesnih,Spodnji Rokav,2500
Pri treh macesnih,Široka peč,2497
Pri treh macesnih,Špik,2472
Pri treh macesnih,Kukova špica,2427
Pri treh macesnih,Šplevta,2272
Pri treh macesnih,Bivak na Jezerih,2118
Pri treh macesnih,Na Pečeh,2039
Pri treh macesnih,Bivak pod Špikom,1424
Pri treh macesnih,Bivak Za Akom,1340
Pri treh macesnih,Zgornji Martuljkov slap,1150
Prisank / Prisojnik,Sovna glava,1750
Prisank / Prisojnik,Poštarski dom na Vršiču,1688
Prisank / Prisojnik,Koča na Gozdu,1226
Prisank / Prisojnik,Koča v Krnici,1113
Prvi Vogel,Vršaki (Južni vrh),2431
Prvi Vogel,Debeli vrh,2390
Prvi Vogel,Zadnji Vogel,2327
Prvi Vogel,Velika Zelnarica,2320
Prvi Vogel,Mala Zelnarica,2310
Prvi Vogel,Srednji Vogel,2226
Prvi Vogel,Kopica,2190
Prvi Vogel,Velika Tičarica,2091
Prvi Vogel,Slatna,2077
Prvi Vogel,Mala Tičarica,2071
Prvi Vogel,Kreda,2025
Prvi Vogel,Vrh nad Vodeno Rupo,1995
Prvi Vogel,Bela glava,1926
Prvi Vogel,Jezero v Ledvicah,1831
Prvi Vogel,Kovačičeva glava,1827
Prvi Vogel,Visoka glava,1822
Prvi Vogel,Planina Dedno Polje,1560
Prvi Vogel,Planina v Lazu,1560
Pršivec,Vrtec,1809
Pršivec,Stadorski Orliči,1782
Pršivec,Rigeljc,1768
Pršivec,Planina Viševnik,1625
Pršivec,Planina Vodični vrh,1486
Pršivec,Koča na Planini pri Jezeru,1453
Pršivec,Črno jezero,1294
Pršivec,Ožarjeni kamen,960
Pršivec,Slap Savica,794
Pršivec,Koča pri Savici,653
Ptičji vrh,Krvavka,1784
Ptičji vrh,Mala Golica,1646
Ptičji vrh,Pusti Rovt,1296
Ptičji vrh,Markljev Rovt,1250
Pungartska gora,Veliko Kladivo,2094
Pungartska gora,Cjajnik / Lärchenturm,1965
Pungartska gora,Škrbina,1869
Pungartska gora,Planina Pungrat,1447
Pungartska gora,Tegoška planina,1430
Pungartska gora,Koča pod Košuto / Koschutahaus,1280
Pusti Rovt,Belska planina (Svečica),1700
Pusti Rovt,Mala Golica,1646
Pusti Rovt,Ptičji vrh,1550
Pusti Rovt,Markljev Rovt,1250
RIS Dolina (Dovžanova soteska),Robič,1384
RIS Dolina (Dovžanova soteska),Zavetišče na Kalu,1112
RIS Dolina (Dovžanova soteska),Kušpergarjev turn (Kušpergarjevi turni),750
Radojč,Plakopec (Brezejec),1005
Radojč,Ramšakov vrh,970
Radojč,Temnjak,798
Radojč,Gonžarjeva peč,575
Ramšakov vrh,Plakopec (Brezejec),1005
Ramšakov vrh,Visoko,991
Ramšakov vrh,Radojč,937
Ramšakov vrh,Vinska gora,806
Ramšakov vrh,Temnjak,798
Ramšakov vrh,Gonžarjeva peč,575
Raskovec,Rodica,1966
Raskovec,Mali Raskovec,1946
Raskovec,Suha Rodica (Novi vrh),1944
Raskovec,Matajurski vrh,1936
Raskovec,Mala Rodica,1901
Raskovec,Poljanski vrh,1897
Raskovec,Konjski vrh,1879
Raskovec,Gradovec,1692
Raskovec,Lovska koča na Glinu,1527
Raskovec,Planina Poljana,1466
Razor,Planja,2453
Razor,Križ,2410
Razor,Gubno,2403
Razor,Šplevta (Indijanec),2382
Razor,Kriški rob,2366
Razor,Spodnji Stenar,2356
Razor,Zgornje Kriško jezero,2158
Razor,Pogačnikov dom na Kriških podih,2050
Razor,Spodnje Kriško jezero,1880
Razor,Lovska koča Na Utrci,1500
Rdeči rob,Srednji vrh,2032
Rdeči rob,Jezero v Lužnici,1801
Rdeči rob,Planina Sleme,1448
Rdeči rob,Planina Leskovca,1230
Rdeči rob,Planina Medrja,1133
Rdeči rob,Planina Laška seč,1000
Rdeči rob,Planina Črča,800
Rekaršica,Kamnati vrh,1658
Rekaršica,Visoka Bavha,1650
Rekaršica,Jerebikovec,1621
Rifugio Brunner,Visoka Bela Špica / Cima Alta di Riobianco,2257
Rifugio Brunner,Bivak Gorizia,1950
Rifugio Cinque Punte,Šober / Monte Sciober Grande,1845
Rifugio Corsi,Viš/Jof Fuart,2666
Rifugio Corsi,Koštrunove špice,2502
Rifugio Corsi,Špik nad Planjo / Punta Plagnis,2411
Rifugio Corsi,Vrh Krnega dola / Monte Cregnedul,2351
Rifugio Corsi,Visoka Bela Špica / Cima Alta di Riobianco,2257
Rifugio Corsi,Bivak Gorizia,1950
Rifugio Corsi,Viška planina,1530
Rifugio Gilberti,Prestreljenik,2499
Rifugio Gilberti,Prestreljeniško okno,2391
Rifugio Gilberti,Vrh Osojnic,2371
Rifugio Gilberti,Bela peč/Monte Bila pec,2146
