ime planinske točke,ime bližnje točke,višina bližnje točke (m)
Bivak Za Akom,Pri treh macesnih,1810
Bivak Za Akom,Rutarski Vršič,1699
Bivak Za Akom,Bivak pod Špikom,1424
Bivak Za Akom,Zgornji Martuljkov slap,1150
Bivak Za Akom,Ingotova koča na planini Jesenje,930
Bivak Za Akom,Spodnji Martuljkov slap,850
Bivak brez meja / Bivacco Senza Confini,Peč (Tromeja),1508
Bivak brez meja / Bivacco Senza Confini,Kopa / Monte Coppa,1496
Bivak brez meja / Bivacco Senza Confini,Dreiländereck Hütte,1423
Bivak brez meja / Bivacco Senza Confini,Marija Snežna (Kavalar) / Madonna della Neve,1275
Bivak brez meja / Bivacco Senza Confini,Dom na Tromeji,1145
Bivak na Belščici,Vajnež,2104
Bivak na Belščici,Mali vrh,2017
Bivak na Belščici,Potoški Stol,2014
Bivak na Belščici,Kamnitnik,1858
Bivak na Belščici,Planina Seča,1698
Bivak na Belščici,Hrašenska planina,1670
Bivak na Belščici,Planina Stamare,1400
Bivak na Belščici,Potoška planina,1270
Bivak na Belščici,Velika Boncla,1241
Bivak na Belščici,Alničje,1145
Bivak na Jezerih,Škrlatica,2740
Bivak na Jezerih,Visoki Rokav,2646
Bivak na Jezerih,Veliki Oltar,2621
Bivak na Jezerih,Velika Martuljška Ponca,2602
Bivak na Jezerih,Dovški križ,2542
Bivak na Jezerih,Mala Martuljška Ponca,2501
Bivak na Jezerih,Spodnji Rokav,2500
Bivak na Jezerih,Široka peč,2497
Bivak na Jezerih,Kukova špica,2427
Bivak na Jezerih,Šplevta,2272
Bivak na Jezerih,Na Pečeh,2039
Bivak na Jezerih,Pri treh macesnih,1810
Bivak na Kalu,Veliki Rogatec (Veliki Rogac),1557
Bivak na Kalu,Lepenatka,1425
Bivak na Kalu,Kunšperski vrh (Brezovec),1336
Bivak na Kalu,Mali Rogatec (Mali Rogac),1228
Bivak na Kalu,Sveti Lenart nad Gornjim Gradom,929
Bivak na Rušju,Škrlatica,2740
Bivak na Rušju,Visoki Rokav,2646
Bivak na Rušju,Dolkova špica,2591
Bivak na Rušju,Rogljica,2547
Bivak na Rušju,Stenar,2501
Bivak na Rušju,Spodnji Rokav,2500
Bivak na Rušju,Križ,2410
Bivak na Rušju,Gubno,2403
Bivak na Rušju,Šplevta (Indijanec),2382
Bivak na Rušju,Kriški rob,2366
Bivak na Rušju,Spodnji Stenar,2356
Bivak na Rušju,Zgornje Kriško jezero,2158
Bivak na Črniku,Krn,2244
Bivak na Črniku,Gomiščkovo zavetišče na Krnu,2182
Bivak na Črniku,Batognica,2164
Bivak na Črniku,Krnčica,2142
Bivak na Črniku,Planica pod Krnom,1376
Bivak pod Grintovcem,Grintovec,2558
Bivak pod Grintovcem,Skuta,2532
Bivak pod Grintovcem,Dolgi hrbet,2473
Bivak pod Grintovcem,Štruca,2457
Bivak pod Grintovcem,Kranjska Rinka,2453
Bivak pod Grintovcem,Kogel,2100
Bivak pod Grintovcem,Bivak pod Skuto,2070
Bivak pod Grintovcem,Kalška gora,2047
Bivak pod Grintovcem,Bivak v Kočni,1952
Bivak pod Grintovcem,Cojzova koča na Kokrskem sedlu,1793
Bivak pod Grintovcem,Kranjska koča na Ledinah,1700
Bivak pod Kotovim sedlom,Jalovec,2645
Bivak pod Kotovim sedlom,Veliki Ozebnik,2480
Bivak pod Kotovim sedlom,Travnik,2379
Bivak pod Kotovim sedlom,Kol,2350
Bivak pod Kotovim sedlom,Vevnica,2342
Bivak pod Kotovim sedlom,Strug,2265
Bivak pod Kotovim sedlom,Kotovo sedlo,2134
Bivak pod Luknjo,Triglav,2864
Bivak pod Luknjo,Glava v Zaplanji,2556
Bivak pod Luknjo,Morbegna,2520
Bivak pod Luknjo,Stenar,2501
Bivak pod Luknjo,Pihavec,2419
Bivak pod Luknjo,Bovški Gamsovec,2392
Bivak pod Luknjo,Spodnji Stenar,2356
Bivak pod Luknjo,Spodnje Kriško jezero,1880
Bivak pod Luknjo,Luknja,1758
Bivak pod Mrzlim vrhom,Skuta,2532
Bivak pod Mrzlim vrhom,Štruca,2457
Bivak pod Mrzlim vrhom,Kranjska Rinka,2453
Bivak pod Mrzlim vrhom,Koroška Rinka (Križ),2433
Bivak pod Mrzlim vrhom,Štajerska Rinka,2374
Bivak pod Mrzlim vrhom,Mala Rinka,2289
Bivak pod Mrzlim vrhom,Turska gora,2251
Bivak pod Mrzlim vrhom,Mrzla gora,2203
Bivak pod Mrzlim vrhom,Velika (Koroška) Baba,2127
Bivak pod Mrzlim vrhom,Storžek,2110
Bivak pod Mrzlim vrhom,Ledinski vrh,2108
Bivak pod Mrzlim vrhom,Bivak pod Skuto,2070
Bivak pod Mrzlim vrhom,Kranjska koča na Ledinah,1700
Bivak pod Mrzlim vrhom,Dom na Okrešlju,1396
Bivak pod Muzcem,Gabrovec,1630
Bivak pod Muzcem,Muzec (Musc),1612
Bivak pod Muzcem,Nizki vrh,1488
Bivak pod Muzcem,Klatnica,1000
Bivak pod Skuto,Skuta,2532
Bivak pod Skuto,Dolgi hrbet,2473
Bivak pod Skuto,Štruca,2457
Bivak pod Skuto,Kranjska Rinka,2453
Bivak pod Skuto,Koroška Rinka (Križ),2433
Bivak pod Skuto,Štajerska Rinka,2374
Bivak pod Skuto,Mala Rinka,2289
Bivak pod Skuto,Brana,2253
Bivak pod Skuto,Turska gora,2251
Bivak pod Skuto,Storžek,2110
Bivak pod Skuto,Ledinski vrh,2108
Bivak pod Skuto,Bivak pod Grintovcem,2100
Bivak pod Skuto,Kogel,2100
Bivak pod Skuto,Bivak pod Mrzlim vrhom,1980
Bivak pod Skuto,Kranjska koča na Ledinah,1700
