točka,vrsta
Krn,vrh
Krnes,vrh
Krničarjeva koča na planini Javornik,planina
Krnsko jezero,planina
Krnsko jezero,jezero
Krnčica,vrh
Krofička,vrh
Krsteniški Stog,vrh
Krvavec,vrh
Krvavka,vrh
Kržišče (Pokovše),vrh
Kser,vrh
Kukova špica,vrh
Kumlehova glava,vrh
Kunšperski vrh (Brezovec),vrh
Kup,vrh
Kurji vrh,vrh
Kušpergarjev turn (Kušpergarjevi turni),vrh
Lajnar,vrh
Lanež,vrh
Lanževica,vrh
Lastovec,vrh
Ledinski vrh,vrh
Lengarjeva glava,vrh
Lepenatka,vrh
Lešanska planina,koča
Lešanska planina,planina
Leški cerkvi,cerkev
Licjanovec,vrh
Lindeški slap,slap
Lipanski vrh,vrh
Lipenšči hrib,vrh
"Lipševa vrata (Vrata, Felsentore)",
Logarska peč,vrh
Logje,planina
Lokovnikov Grintovec / Grintoutz,vrh
Lomek (Lom),vrh
Lopa,vrh
Lopatnik,vrh
Lopič / Monte Plauris,
Lovska koča Bala,
Lovska koča Na Utrci,
Lovska koča Stanič,planina
Lovska koča na Brvogih,
Lovska koča na Glinu,vrh
Lovska koča nad Doslovško planino,
Lovska koča Črnevka,
Lovska koča Štepih,
Lovčev bivak Pri Koucah,
Luknja,sedlo
Lučka Brana (Baba),vrh
Lučki Dedec,vrh
Macesnovec,vrh
Macna / Matzen,vrh
Mahavšček,vrh
Mala Boka,
Mala Boncla (Bavha),vrh
Mala Golica,vrh
Mala Košuta,vrh
Mala Martuljška Ponca,vrh
Mala Mojstrovka,vrh
Mala Ojstrica,vrh
Mala Osojnica,vrh
Mala Peca,vrh
Mala Poljana,koča
Mala Poljana,planina
Mala Ponca,vrh
Mala Raduha,vrh
Mala Rinka,vrh
Mala Rodica,vrh
Mala Tičarica,vrh
Mala Zelnarica,vrh
Malga Cuarnan,koča
Mali Draški vrh,vrh
Mali Grintovec,vrh
Mali Javornik,vrh
Mali Kanin,vrh
Mali Karman / Monte Cuarnan,
Mali Ozebnik,vrh
Mali Raskovec,vrh
Mali Rogatec (Mali Rogac),vrh
Mali Travnik,vrh
Mali Triglav,vrh
Mali slap Kozjak,slap
Mali vrh,vrh
Mali vrh nad Završnico,vrh
Mali Šmohor,vrh
Malnež,vrh
Malo Kladivo,vrh
